Id,Note Id,Related to Id,Related to Type
14618531,70015342287,70065906153,Contact
14618786,70015342542,70065906151,Contact
14618893,70015342648,70066541193,Contact
14619181,70015342934,70066273258,Contact
14619370,70015343121,70066273228,Contact
14619677,70015343425,70066273194,Contact
14619855,70015343602,70066273209,Contact
14620119,70015343865,70066273184,Contact
14620560,70015344306,70065906146,Contact
14620871,70015344616,70066273219,Contact
14621349,70015345094,70066666430,Contact
14621412,70015345157,70066273220,Contact
14621567,70015345312,70066273276,Contact
14621770,70015345515,70065906130,Contact
14751851,70015475738,70064994413,Contact
14753641,70015477528,70067710364,Contact
14754054,70015477941,70067710365,Contact
14776729,70015500646,70066956075,Contact
14776828,70015500745,70064994406,Contact
14777434,70015501358,70068078764,Contact
14817272,70015541275,70068078766,Contact
14882545,70015606672,70068212034,Contact
14887465,70015611592,70068078765,Contact
14887766,70015611893,70067259391,Contact
14888476,70015612603,70068078765,Contact
14889863,70015613992,70066273273,Contact
14889982,70015614111,70067710360,Contact
14890130,70015614259,70064409903,Contact
14890481,70015614611,70068078762,Contact
14891424,70015615557,70066541213,Contact
14891516,70015615649,70066273202,Contact
14891582,70015615716,70064994429,Contact
14891633,70015615767,70064409537,Contact
14891863,70015616000,70068078763,Contact
14893237,70015617382,70066956104,Contact
14893374,70015617521,70066666438,Contact
14931088,70015655356,70067710368,Contact
14931389,70015655657,70067710372,Contact
14931921,70015656189,70066666435,Contact
14932108,70015656376,70062096657,Contact
14947755,70015672034,70068463696,Contact
14947857,70015672137,70066956095,Contact
14947955,70015672235,70066273193,Contact
14948079,70015672361,70065906151,Contact
14948177,70015672459,70066273194,Contact
14948244,70015672526,70066273209,Contact
14948342,70015672625,70066273228,Contact
14948510,70015672794,70066541200,Contact
14978825,70015703180,70066956083,Contact
14978965,70015703320,70066541204,Contact
14979007,70015703362,70066666430,Contact
14979145,70015703500,70066956077,Contact
14984803,70015709158,70066956087,Contact
14984866,70015709221,70066956087,Contact
14984942,70015709297,70067452706,Contact
14985012,70015709367,70067710363,Contact
14985328,70015709683,70068463692,Contact
14985428,70015709783,70068463701,Contact
14989733,70015714088,70065906153,Contact
14989959,70015714315,70068463703,Contact
14992231,70015716587,70068212034,Contact
14992325,70015716681,70068078765,Contact
14992452,70015716808,70068078763,Contact
14992584,70015716940,70068078762,Contact
14992922,70015717278,70067710359,Contact
14992999,70015717355,70067259391,Contact
14993310,70015717666,70066956103,Contact
14993549,70015717905,70066956091,Contact
14993642,70015717998,70066666433,Contact
14993799,70015718155,70066666426,Contact
14993884,70015718240,70066541207,Contact
14994106,70015718462,70066541193,Contact
14994411,70015718767,70066273220,Contact
14994506,70015718862,70065906144,Contact
14994609,70015718965,70065906130,Contact
14994694,70015719050,70068463701,Contact
14994812,70015719168,70068078759,Contact
14995165,70015719521,70067259395,Contact
14996316,70015720672,70068244927,Contact
14996453,70015720809,70066956084,Contact
14996610,70015720966,70066273276,Contact
14997118,70015721474,70068463700,Contact
14997193,70015721549,70068212035,Contact
14997244,70015721600,70068463698,Contact
14997278,70015721634,70068463697,Contact
14997493,70015721849,70068463694,Contact
14997564,70015721920,70066956099,Contact
14997599,70015721955,70066956088,Contact
14997694,70015722050,70066541205,Contact
14997881,70015722237,70066273251,Contact
15165318,70015889956,70066956082,Contact
15220382,70015945128,70069050583,Contact
15220689,70015945435,70068463695,Contact
15220944,70015945690,70068463691,Contact
15221148,70015945894,70068463705,Contact
15221233,70015945979,70068463693,Contact
15221564,70015946310,70069050567,Contact
15222037,70015946783,70069050586,Contact
15226803,70015951549,70068078759,Contact
15227397,70015952143,70069050575,Contact
15228762,70015953509,70069050582,Contact
15229278,70015954025,70069050559,Contact
15233299,70015958047,70069050560,Contact
15233860,70015958608,70068244927,Contact
15234169,70015958917,70069050578,Contact
15235425,70015960174,70068463700,Contact
15235595,70015960345,70068212035,Contact
15235902,70015960652,70069050584,Contact
15246395,70015971148,70068078763,Contact
15247040,70015971793,70069050577,Contact
15247258,70015972011,70069227564,Contact
15247467,70015972220,70069227565,Contact
15248106,70015972859,70066273251,Contact
15249433,70015974190,70066541205,Contact
15284026,70016008824,70069227564,Contact
15284397,70016009195,70069227566,Contact
15284624,70016009422,70066273251,Contact
15287100,70016011898,70069227566,Contact
15287161,70016011959,70069227573,Contact
15287845,70016012643,70069227571,Contact
15287969,70016012767,70066541205,Contact
15288018,70016012816,70066541201,Contact
15288044,70016012842,70066956088,Contact
15288422,70016013221,70065734922,Contact
15288575,70016013374,70065632863,Contact
15288711,70016013510,70068463697,Contact
15288945,70016013744,70068463698,Contact
15289106,70016013905,70069050561,Contact
15289728,70016014527,70068212035,Contact
15290066,70016014865,70068463701,Contact
15290611,70016015410,70069050574,Contact
15316095,70016040922,70069050590,Contact
15316907,70016041741,70069227567,Contact
15317161,70016041996,70069227568,Contact
